Taxon,species,flight,age,group,swim,body_len,mass,wing,tail,tarsus,barb_angle_m_l,barb_angle_m_t,rachis_width_m,rachis_length_m,barb_length_m_l,barb_length_m_t,barb_density_m_l,barb_density_m_t,barbule_length_m_t,barbule_density_m_distal,barbule_density_m_proximal
Tinamus major saturatus,Tinamus major,1,,Palaeognathae,0,395,1028.5,215,72,50.2,10.14,35.27,0.648,30.589,15.926,20.268,1.137656428,3.337041157,0.3,37.73584906,26.49006623
Dryolimnas cuvieri cuvieri,Dryolimnas cuvieri,1,,Gruiformes,0,274,241,160,63.6,50.5,28.61,36.53,0.382,20.632,9.525,17.149,2.281368821,3.225806452,0.517,33.33333333,28.08988764
Crex crex,Crex crex,1,,Gruiformes,0,159,155.5,128,52.3,38,20.9,30.98,0.432,21.671,10.857,15.537,1.791044776,2.892960463,0.532,34.93449782,24.8447205
Himantornis haematopus,Himantornis haematopus,1,,Gruiformes,0,260,588,214,98.8,78,33.1,48.96,0.676,43.276,14.539,25.618,2.012072435,2.277904328,0.532,34.48275862,28.57142857
Fulica gigantea,Fulica gigantea,0,2869100,Gruiformes,1,444,2455,267,43.6,96,27.33,28.71,0.547,21.941,10.537,16.642,2.876318313,3.645200486,0.545,41.49377593,30.82191781
Fulica armillata,Fulica armillata,1,,Gruiformes,1,338,1040,198,46.5,70.5,20.13,25.18,0.539,26.902,11.275,16.951,2.325581395,3.55450237,0.489,36.23188406,22.32142857
Gallirallus australis,Gallirallus australis,0,7241700,Gruiformes,0,435,851.5,180,122.2,69,26.26,28.03,0.373,29.294,23.17,23.881,2.801120448,1.880877743,0.596,23.4741784,18.65671642
Strigops habroptilus,Strigops habroptilus,0,28500000,Psittaciformes,0,317,1750,259,241,52,30.97,32.27,0.325,31.871,23.488,26.041,1.625135428,1.840490798,0.632,20.94240838,17.39130435
Nestor notabilis,Nestor notabilis,1,,Psittaciformes,0,280,867.5,314,169.5,55.8,13.94,32.714,0.763,56.427,21.352,31.551,1.058948112,2.207505519,0.624,32.05128205,26.17801047
Gallirallus striatus,Gallirallus striatus,1,,Gruiformes,0,165,116,119,41.3,35.6,34.8,42.2,0.57,24.448,9.866,15.98,2.029769959,2.650176678,0.537,37.03703704,30.3030303
Atlantisia rogersi,Atlantisia rogersi,0,1500000,Gruiformes,0,107,39.35,61,26.5,22.1,25.6,30.4,0.095,9.849,8.927,11.251,2.329192547,2.985074627,0.549,26.31578947,22.62443439
Nesoclopeus woodfordi,Nesoclopeus woodfordi,0,1629400,Gruiformes,0,330,554.5,153,69.8,57,23.4,32.5,0.26,24.094,15.92,20.377,1.712328767,2.43902439,0.525,27.47252747,23.25581395
Alca torda,Alca torda,1,,Charadriiformes,4,340,726,199,87.5,38.5,14.1,38.7,0.97,42.27,14.533,18.647,1.747233547,2.181818182,0.291,51.54639175,30.48780488
Struthio camelus,Struthio camelus,0,79580000,Palaeognathae,0,1700,111000,690,370,390,26.62,25.01,0.374,104.276,75.891,81.628,0.872346612,0.860091743,2.702,23.14814815,29.58579882
Dromaius novaehollandiae,Dromaius novaehollandiae,0,66690000,Palaeognathae,0,1820,34200,151,267,381,16.9,12.3,0.126,23.519,17.47,25.712,0.837053571,0.773993808,0,0,0
Rhea americana intermedia,Rhea americana,0,70620000,Palaeognathae,0,1240,23000,579,101,384,48,43.4,1.116,207.612,50.06,53.933,1.123174841,1.203852327,0,0,0
Apteryx australis,Apteryx australis,0,62010000,Palaeognathae,0,690,2330,90,60,79.5,15.7,23.9,0.229,44.728,26.702,13.409,1.742160279,1.599147122,1.268,7.610350076,6.693440428
Anas aucklandica,Anas aucklandica,0,730000,Anseriformes,1,234,465.5,135,69.6,35.8,23.3,26.6,0.395,27.049,11.535,16.353,2.72479564,2.620087336,0.536,23.14814815,34.72222222
Anas chlorotis,Anas chlorotis,1,,Anseriformes,1,368,582,200,117.6,47.5,18.3,28.2,0.826,45.255,15.886,17.156,1.613770845,3.636363636,0.315,30.3030303,50.50505051
Tachyeres pteneres,Tachyeres pteneres,0,15000,Anseriformes,2,680,4772,254,112,75,17,29.7,1.232,47.676,13.12,22.381,2.033898305,2.811621368,0.349,29.06976744,48.54368932
Tachyeres patachonicus,Tachyeres patachonicus,1,,Anseriformes,2,517,2831,286,88.3,61.6,24.1,33.5,0.919,47.047,11.063,17.408,2.276176024,3.083247688,0.387,25.64102564,47.16981132
Rollandia microptera,Rollandia microptera,0,1000000,Podicipediformes,3,380,706,108,27.5,47.4,26.03,32.89,0.428,19.583,6.154,12.78,6.172839506,3.267973856,0.444,40,45.45454545
Rollandia rolland chilensis,Rollandia rolland,1,,Podicipediformes,3,208,336,99,27.8,35.4,26,37.7,0.418,21.606,5.495,11.356,3.50877193,5.208333333,0.353,34.96503497,45.45454545
Phalacrocorax harrisi,Phalacrocorax harrisi,0,2370000,Suliformes,3,704,3050,174,149.6,59.3,21.5,25.1,0.778,42.267,16.859,25.475,2.161383285,2.557544757,0.573,39.47368421,21.875
