species,flight,clade,swim,age,mass,wing,tarsus,tail,barb_angle_lm,barb_angle_tm,rachis_int_width,rachis_int_length,rachis_middle_width,rachis_middle_length,barb_length_lm,barb_length_tm,barb_width_tm,barbule_length_distal_tm,barbule_length_distal_ti,barbule_density_distal_ti,barbule_density_proximal_ti,barbule_density_middle_leading,barbule_density_middle_trailing,barb_density_int_leading,barb_density_int_trailing
Tinamus major,1,Palaeognathae,0,,1028.5,215,50.2,72,10.14,35.27,1.39,63.64,0.648,30.589,15.926,20.268,0.167,0.3,0.34,45.45454545,27.77777778,1.137656428,3.337041157,1.111111111,2.34375
Dryolimnas cuvieri,1,Gruiformes,0,,241,160,50.5,63.6,28.61,36.53,1.015,55.044,0.382,20.632,9.525,17.149,0.034,0.517,0.66,32.25806452,27.02702703,2.281368821,3.225806452,2.307692308,3.157894737
Crex crex,1,Gruiformes,0,,155.5,128,38,52.3,20.9,30.98,0.584,43.999,0.432,21.671,10.857,15.537,0.026,0.532,0.59,24.27184466,39.0625,1.791044776,2.892960463,1.730103806,3.340757238
Himantornis haematopus,1,Gruiformes,0,,588,214,78,98.8,33.1,48.96,1.712,84.3,0.676,43.276,14.539,25.618,0.026,0.532,0.393,35.21126761,24.63054187,2.012072435,2.277904328,1.872659176,1.865671642
Fulica gigantea,0,Gruiformes,1,2869100,2455,267,96,43.6,27.33,28.71,0.941,42.192,0.547,21.941,10.537,16.642,0.056,0.545,0.532,36.23188406,24.3902439,2.876318313,3.645200486,2.431118314,3.003003003
Fulica armillata,1,Gruiformes,1,,1040,198,70.5,46.5,20.13,25.18,0.934,56.857,0.539,26.902,11.275,16.951,0.033,0.489,0.499,44.24778761,23.69668246,2.325581395,3.55450237,2.365930599,2.631578947
Gallirallus australis,0,Gruiformes,0,7241700,851.5,180,69,122.2,26.26,28.03,0.543,54.308,0.373,29.294,23.17,23.881,0.043,0.596,0.664,24.75247525,18.79699248,2.801120448,1.880877743,1.948051948,2.448979592
Strigops habroptilus,0,Psittaciformes,0,28500000,1750,259,52,241,30.97,32.27,0.796,66.979,0.325,31.871,23.488,26.041,0.036,0.632,0.642,22.32142857,17.12328767,1.625135428,1.840490798,1.092896175,1.803968731
Nestor notabilis,1,Psittaciformes,0,,867.5,314,55.8,169.5,13.94,32.714,1.209,114.063,0.763,56.427,21.352,31.551,0.1,0.624,0.581,30.67484663,28.24858757,1.058948112,2.207505519,0.589970501,1.754385965
Gallirallus striatus,1,Gruiformes,0,,116,119,35.6,41.3,34.8,42.2,0.84,44.208,0.57,24.448,9.866,15.98,0.058,0.537,0.526,40,28.40909091,2.029769959,2.650176678,2.5,2.712477396
Atlantisia rogersi,0,Gruiformes,0,1500000,39.35,61,22.1,26.5,25.6,30.4,0.217,18.071,0.095,9.849,8.927,11.251,0.019,0.549,0.469,24.50980392,21.27659574,2.329192547,2.985074627,3.420752566,2.105263158
Nesoclopeus woodfordi,0,Gruiformes,0,1629400,554.5,153,57,69.8,23.4,32.5,0.706,53.182,0.26,24.094,15.92,20.377,0.041,0.525,0.592,21.45922747,28.40909091,1.712328767,2.43902439,2.032520325,2.717391304
Alca torda,1,Charadriiformes,4,,726,199,38.5,87.5,14.1,38.7,1.495,75.958,0.97,42.27,14.533,18.647,0.021,0.291,0.303,54.94505495,29.76190476,1.747233547,2.181818182,2.44100895,1.271186441
Struthio camelus,0,Palaeognathae,0,79580000,111000,690,390,370,26.62,25.01,0.533,200.214,0.374,104.276,75.891,81.628,0.062,2.702,2.564,16.33986928,11.36363636,0.872346612,0.860091743,0.831946755,0.861079219
Dromaius novaehollandiae,0,Palaeognathae,0,66690000,34200,151,381,267,16.9,12.3,0.232,47.96,0.126,23.519,17.47,25.712,0.121,0,0.357,25.77319588,15.24390244,0.837053571,0.773993808,1.020408163,1.124859393
Rhea americana,0,Palaeognathae,0,70620000,23000,579,384,101,48,43.4,1.713,333.796,1.116,207.612,50.06,53.933,0.12,0,0.704,19.68503937,10.59322034,1.123174841,1.203852327,1.279317697,1.265822785
Apteryx australis,0,Palaeognathae,0,62010000,2330,90,79.5,60,15.7,23.9,0.296,61.575,0.229,44.728,26.702,13.409,0.099,1.268,1.486,8.333333333,9.560229446,1.742160279,1.599147122,1.469147894,0.707881076
Anas aucklandica,0,Anseriformes,1,730000,465.5,135,35.8,69.6,23.3,26.6,0.718,56.712,0.395,27.049,11.535,16.353,0.037,0.536,0.617,20.83333333,40,2.72479564,2.620087336,2.362204724,2.645502646
Anas chlorotis,1,Anseriformes,1,,582,200,47.5,117.6,18.3,28.2,1.58,96.023,0.826,45.255,15.886,17.156,0.077,0.315,0.862,26.88172043,52.08333333,1.613770845,3.636363636,1.589825119,2.063273728
Tachyeres pteneres,0,Anseriformes,2,15000,4772,254,75,112,17,29.7,2.08,94.924,1.232,47.676,13.12,22.381,0.09,0.349,0.682,28.24858757,53.76344086,2.033898305,2.811621368,1.864512119,2.33281493
Tachyeres patachonicus,1,Anseriformes,2,,2831,286,61.6,88.3,24.1,33.5,1.677,93.275,0.919,47.047,11.063,17.408,0.082,0.387,0.556,25.12562814,47.61904762,2.276176024,3.083247688,2.360346184,3.278688525
Rollandia microptera,0,Podicipediformes,3,1000000,706,108,47.4,27.5,26.03,32.89,0.846,43.751,0.428,19.583,6.154,12.78,0.018,0.444,0.275,50,76.92307692,6.172839506,3.267973856,4.95049505,3.963011889
Rollandia rolland,1,Podicipediformes,3,,336,99,35.4,27.8,26,37.7,0.723,40.018,0.418,21.606,5.495,11.356,0.016,0.353,0.419,41.32231405,38.16793893,3.50877193,5.208333333,3.57568534,5.791505792
Phalacrocorax harrisi,0,Suliformes,3,2370000,3050,174,59.3,149.6,21.5,25.1,1.22,81.187,0.778,42.267,16.859,25.475,0.039,0.573,0.644,45.80152672,26.08695652,2.161383285,2.557544757,2.892960463,3.20855615
Phalacrocorax auritus,1,Suliformes,3,,1960,304,65.8,168.9,17.7,26,1.451,81.237,0.711,39.49,14.234,19.218,0.079,0.441,0.665,40.98360656,25,1.768867925,2.271006813,1.951854262,2.712477396
Oceanites oceanicus,1,Procellariiformes,4,,32,147,36.1,69.4,23.2,43.4,1.056,82.59,0.548,48.143,11.094,19.411,0.024,0.747,0.435,35.71428571,28.08988764,1.791044776,2.74473925,1.943005181,3.558718861
Pelecanoides urinatrix,1,Procellariiformes,4,,121,116,25.4,42.6,20.4,30.9,0.814,59.086,0.465,27.265,8.338,13.899,0.037,0.246,0.632,38.46153846,25.38071066,2.798507463,3.601440576,2.083333333,3.027245207
Diomedea immutabilis,1,Procellariiformes,4,,3150,454,96,139.9,12.3,28.8,2.762,136.113,1.237,72.747,19.244,39.076,0.021,0.71,0.72,47.61904762,26.31578947,0.856164384,2.352941176,0.584339696,2.827521206
Casuarius unappendiculatus,0,Palaeognathae,0,66690000,47300,325,284,310,0,0,4.084,106.331,3.759,61.393,0,0,0,0,0,0,0,0,0,0,0
Spheniscus demersus,0,Sphenisciformes,5,61050000,3135,104,32.5,23.2,10.9,12.5,0.135,4.686,0.094,2.57,3.426,3.286,0.03,0.199,0.147,22.32142857,21.45922747,7.042253521,5.395683453,7.075471698,4.601226994
Eudyptes chrysocome crestatus,0,Sphenisciformes,5,61050000,2330,91,26.9,58.7,12.3,16.4,0.309,7.175,0.288,4.046,4.21,4.162,0.035,0.233,0.312,26.31578947,31.44654088,4.823151125,3.389830508,2.840909091,3.401360544
Aptenodytes forsteri,0,Sphenisciformes,5,61050000,11751,182,46,83.9,10.2,8.3,1.161,12.297,0.925,5.81,4.747,5.158,0.024,0.363,0.243,34.01360544,16.50165017,3.973509934,3.896103896,2.572898799,2.551020408
Mergus australis,1,Anseriformes,1,,898,186,42.2,80.8,11.6,31.5,1.3,60.478,0.698,32.543,9.691,14.411,0.055,0.431,0.46,40,25,1.738122827,3.468208092,1.830384381,2.958579882
Porzana sandwichensis,0,Gruiformes,0,430000,35,65,27.7,14.2,31,38,0.376,32.226,0.123,15.524,9.492,11.976,0.018,0.451,0.319,28.24858757,23.58490566,3.021148036,2.994011976,3.289473684,3.731343284
Porzana palmeri,0,Gruiformes,0,125000,32.5,58,25.4,25.2,24.8,29.8,0.326,26.299,0.166,15.202,8.771,13.063,0.091,0.512,0.503,35.21126761,28.57142857,2.281368821,2.822201317,2.588438309,2.958579882
Gallinula nesiotis,0,Gruiformes,1,,513,150,53,68,21.6,32,0.959,53.129,0.457,29.7216,15.121,20.379,0.048,0.493,0.453,34.24657534,22.62443439,1.923076923,2.988047809,2.487562189,2.949852507
Xenicus lyalli,0,Passeriformes,0,32900000,16,50,18.1,13.3,35.8,32,0.215,15.185,0.146,9.08,4.497,9.408,0.007,0.305,0.457,29.41176471,28.9017341,2.843601896,3.260869565,3.131524008,2.93255132
Megacrex inepta,0,Gruiformes,0,16660500,1200,158,90.2,29,40.06,35.5,1.182,67.529,0.527,35.207,19.963,25.602,0.05,0.205,0.296,33.11258278,27.02702703,2.19941349,2.158273381,2.819548872,2.952755906
Porzana spiloptera,1,Gruiformes,0,,61,75,24.5,34.5,24.7,33.3,0.725,41.421,0.289,21.327,7.546,13.818,0.015,0.546,0.242,38.46153846,33.78378378,2.141327623,3.393665158,2.857142857,3.973509934
Gallinula mortierii,0,Gruiformes,1,5529800,1292.5,183,78,93.7,29.8,32.3,1.006,66.736,0.413,30.38,17.015,22.372,0.038,0.646,0.641,34.96503497,24.50980392,2.054794521,2.126151665,2.063273728,2.512562814
Podiceps taczanowskii,0,Podicipediformes,3,960000,391.5,119,44.1,32.6,20.4,26.3,0.942,40.996,0.457,22.682,7.514,10.52,0.044,0.338,0.255,55.55555556,34.01360544,3.367003367,3.614457831,3.25732899,4.137931034
Pinguinus impennis,0,Charadriiformes,4,11720000,5000,159,57.6,78,13.2,17.5,0.85,41.783,0.455,24.292,10.218,13.222,0.014,0.626,0.525,43.85964912,26.59574468,1.908396947,3.021148036,2.255639098,3.289473684
Aramidopsis plateni,0,Gruiformes,0,12195300,191,138,60.6,34,37.4,35.09,1.044,65.515,0.532,29.074,13.384,19.255,0.046,0.221,0.428,36.49635036,26.45502646,2.485501243,2.643171806,2.659574468,3.012048193
Habroptila wallacii,0,Gruiformes,0,9393700,1000,164,85.1,65.7,34.7,42.5,1.135,75.455,0.507,39.066,21.135,27.585,0.04,0.631,0.555,32.67973856,23.04147465,1.956947162,2.495840266,2.398081535,2.606429192
Dryolimnas aldabranus,0,Gruiformes,0,130000,182.5,106,46.3,41.7,27,32.2,0.753,47.998,0.393,24.513,10.916,17.155,0.034,0.316,0.325,39.0625,28.73563218,2.504173623,2.801120448,2.798507463,3.968253968
Podilymbus gigas,0,Podicipediformes,3,,699,127,43.6,33.4,14.6,17.7,0.673,28.766,0.247,14.794,6.715,9.421,0.045,0.306,0.271,51.54639175,40.32258065,2.510460251,3.856041131,3.314917127,4.918032787
Podilymbus podiceps,1,Podicipediformes,3,,416,129,40.5,31.6,25.9,34.7,0.856,48.73,0.561,25.478,7.835,10.063,0.019,0.392,0.486,52.08333333,37.59398496,3.618817853,4.411764706,3.239740821,4.304160689
Gallirallus philippensis,1,Gruiformes,0,,180,129,49.4,58.1,26.7,34.3,1.125,69.932,0.586,36.086,10.898,17.782,0.034,0.572,0.447,47.61904762,29.76190476,1.955671447,3,2.617801047,3.821656051
Tricholimnas sylvestris,0,Gruiformes,0,730000,496,144,53.5,52.2,20.9,24.2,0.698,61.906,0.269,30.744,17.195,20.807,0.025,0.4,0.382,28.73563218,23.25581395,2.042205582,2.564102564,2.548853016,3.138075314
Porzana pusilla,1,Gruiformes,0,,35.4,94,31,36,20.7,43.9,0.736,55.781,0.32,26.755,8.163,14.164,0.031,0.508,0.425,40.32258065,34.48275862,1.884422111,3.448275862,2.295332823,4.137931034
Porzana tabuensis,1,Gruiformes,0,,42.55,74,30.4,42,25.4,39.2,0.475,37.969,0.221,17.623,6.124,11.483,0.012,0.46,0.311,42.01680672,26.17801047,2.652519894,3.448275862,3.239740821,4.608294931
Gallinula chloropus,1,Gruiformes,1,,305,176,52.1,75.4,19.7,38.3,1.524,95.524,0.73,45.567,11.044,22.648,0.05,0.449,0.436,47.61904762,25,1.862197393,3.370786517,2.538071066,4.213483146
Mergus merganser americanus,1,Anseriformes,1,,1470.5,264,50.5,104,22.4,32.5,2.222,117.357,1.226,63.675,13.625,23.784,0.089,0.421,0.437,56.17977528,29.23976608,2.155172414,3.121748179,2.130681818,3.121748179
