,StripTips_sp,Bind
I0185_86_Accipitridae_Buteo_jamaicensis,Buteo jamaicensis,0
I0186_111_Momotidae_Momotus_lessonii,Momotus lessonii,0
I0187_115_Trogonidae_Trogon_elegans,Trogon elegans,Trogon strigilatus strigilatus
I0188_135_Apodidae_Streptoprocne_zonaris,Streptoprocne zonaris,Apus apus apus
I0189_225_Eurylaimidae_Smithornis_rufolateralis,Smithornis rufolateralis,0
I0190_295_Trogonidae_Apaloderma_aequatoriale,Apaloderma aequatoriale,0
I0191_344_Indicatoridae_Indicator_exilis,Indicator exilis,0
I0192_375_Musophagidae_Tauraco_macrorhynchus,Tauraco macrorhynchus,Musophaga rossae
I0193_447_Columbidae_Treron_calvus,Treron calvus,0
I0194_495_Alcedinidae_Alcedo_quadribrachys,Alcedo quadribrachys,0
I0195_522_Ramphastidae_Buccanodon_duchaillui,Buccanodon duchaillui,0
I0196_523_Musophagidae_Corythaeola_cristata,Corythaeola cristata,0
I0197_832_Corvidae_Corvus_albus,Corvus albus,0
I0198_937_Bucerotidae_Tockus_camurus,Tockus camurus,0
I0199_955_Meropidae_Merops_muelleri,Merops muelleri,0
I0200_988_Furnariidae_Furnarius_rufus,Furnarius rufus,0
I0201_999_Scolopacidae_Tringa_solitaria,Tringa solitaria,0
I0202_1066_Cathartidae_Cathartes_burrovianus,Cathartes burrovianus,Cathartes aura jota
I0203_1087_Tyrannidae_Hymenops_perspicillatus,Hymenops perspicillatus,0
I0204_1174_Threskiornithidae_Harpiprion_caerulescens,Harpiprion caerulescens,0
I0205_1183_Tyrannidae_Hirundinea_ferruginea,Hirundinea ferruginea,0
I0206_1192_Laridae_Chroicocephalus_cirrocephalus,Chroicocephalus cirrocephalus,0
I0207_1193_Thamnophilidae_Thamnophilus_ruficapillus,Thamnophilus ruficapillus,0
I0208_1208_Strigidae_Strix_varia,Strix varia,Strix varia
I0209_1223_Burhinidae_Burhinus_oedicnemus,Burhinus oedicnemus,0
I0210_1226_Ciconiidae_Ciconia_nigra,Ciconia nigra,0
I0211_1232_Columbidae_Columba_livia,Columba livia,Columba livia livia
I0212_1289_Charadriidae_Charadrius_hiaticula,Charadrius hiaticula,0
I0213_1334_Picidae_Jynx_torquilla,Jynx torquilla,Dryocopus pileatus floridanus
I0214_1354_Sylviidae_Sylvia_melanocephala,Sylvia melanocephala,0
I0215_1370_Regulidae_Regulus_ignicapilla,Regulus ignicapilla,0
I0216_1413_Falconidae_Micrastur_gilvicollis,Micrastur gilvicollis,0
I0217_1452_Cotingidae_Rupicola_rupicola,Rupicola rupicola,0
I0218_1474_Tityridae_Myiobius_barbatus,Myiobius barbatus,0
I0219_1489_Trochilidae_Topaza_pella,Topaza pella,Patagona gigas peruviana
I0220_1514_Trochilidae_Phaethornis_superciliosus,Phaethornis superciliosus,0
I0221_1526_Columbidae_Leptotila_rufaxilla,Leptotila rufaxilla,0
I0222_1568_Turdidae_Turdus_olivater,Turdus olivater,0
I0223_1586_Furnariidae_Sclerurus_mexicanus,Sclerurus mexicanus,0
I0224_1607_Cracidae_Crax_alector,Crax alector,Crex crex
I0225_1616_Incertae_sedis_Piprites_chloris,sedis Piprites,0
I0226_1619_Odontophoridae_Odontophorus_gujanensis,Odontophorus gujanensis,0
I0227_1698_Tyrannidae_Rhynchocyclus_olivaceus,Rhynchocyclus olivaceus,0
I0228_1712_Pipridae_Neopelma_chrysocephalum,Neopelma chrysocephalum,0
I0229_1748_Tinamidae_Nothoprocta_ornata,Nothoprocta ornata,0
I0230_1770_Tinamidae_Crypturellus_tataupa,Crypturellus tataupa,0
I0231_1774_Tinamidae_Tinamus_major,Tinamus major,Tinamus major saturatus
I0232_1837_Fringillidae_Fringilla_coelebs,Fringilla coelebs,0
I0233_1920_Upupidae_Upupa_epops,Upupa epops,0
I0234_1994_Todidae_Todus_mexicanus,Todus mexicanus,0
I0235_2065_Cuculidae_Coccyzus_melacoryphus,Coccyzus melacoryphus,0
I0236_2079_Falconidae_Falco_sparverius,Falco sparverius,Falco peregrinus cassini
I0237_2182_Thamnophilidae_Myrmornis_torquata,Myrmornis torquata,0
I0238_2211_Cotingidae_Cotinga_cayana,Cotinga cayana,0
I0239_2212_Ardeidae_Tigrisoma_lineatum,Tigrisoma lineatum,0
I0240_2217_Psittacidae_Deroptyus_accipitrinus,Deroptyus accipitrinus,0
I0241_2249_Pipridae_Pipra_erythrocephala,Pipra erythrocephala,0
I0242_2273_Furnariidae_Lepidocolaptes_angustirostris,Lepidocolaptes angustirostris,0
I0243_2275_Columbidae_Columbina_minuta,Columbina minuta,0
I0244_2276_Caprimulgidae_Chordeiles_pusillus,Chordeiles pusillus,0
I0245_2800_Ardeidae_Ardea_herodias,Ardea herodias,0
I0246_2823_Tyrannidae_Tyrannus_albogularis,Tyrannus albogularis,0
I0247_2886_Apodidae_Chaetura_brachyura,Chaetura brachyura,0
I0248_2938_Falconidae_Caracara_cheriway,Caracara cheriway,0
I0249_2220_Nyctibiidae_Nyctibius_griseus,Nyctibius griseus,0
I0250_2944_Odontophoridae_Colinus_cristatus,Colinus cristatus,0
I0251_3044_Tityridae_Tityra_cayana,Tityra cayana,0
I0252_3154_Anatidae_Anas_superciliosa,Anas superciliosa,Anas aucklandica
I0253_3158_Anseranatidae_Anseranas_semipalmata,Anseranas semipalmata,0
I0254_3160_Sulidae_Morus_serrator,Morus serrator,0
I0255_3161_Podargidae_Podargus_strigoides,Podargus strigoides,0
I0256_3178_Megapodiidae_Leipoa_ocellata,Leipoa ocellata,0
I0257_3236_Anatidae_Oxyura_jamaicensis,Oxyura jamaicensis,0
I0258_3336_Caprimulgidae_Caprimulgus_europaeus,Caprimulgus europaeus,Caprimulgus europaeus europaeus
I0259_3344_Picidae_Picus_canus,Picus canus,0
I0260_3380_Dromaiidae_Dromaius_novaehollandiae,Dromaius novaehollandiae,Dromaius novaehollandiae
I0261_3515_Thamnophilidae_Terenura_callinota,Terenura callinota,0
I0262_3562_Oxyruncidae_Oxyruncus_cristatus,Oxyruncus cristatus,0
I0263_3569_Psophiidae_Psophia_crepitans,Psophia crepitans,0
I0264_3574_Falconidae_Ibycter_americanus,Ibycter americanus,0
I0265_3576_Tityridae_Schiffornis_turdina,Schiffornis turdina,0
I0266_3617_Ramphastidae_Capito_niger,Capito niger,0
I0267_3690_Bucconidae_Bucco_capensis,Bucco capensis,0
I0268_3790_Accipitridae_Accipiter_superciliosus,Accipiter superciliosus,Accipiter nisus nisus
I0270_4099_Sternidae_Sterna_hirundo,Sterna hirundo,0
